Age,Conc_tricaine,Recovery,Not_SM_or_TR,Length
46,0.009,1,1,11
46,0.009,1,1,12
46,0.009,1,1,8
46,0.009,1,1,18
46,0.009,1,1,15
46,0.009,1,1,18
46,0.009,1,1,9
46,0.009,1,1,16
46,0.009,0,1,11
46,0.009,0,1,15
46,0.009,1,1,18
46,0.009,1,1,14
46,0.009,1,1,13
46,0.009,1,1,8
46,0.009,1,1,9
46,0.009,1,1,12
46,0.009,1,1,18.5
46,0.009,1,1,14
46,0.009,1,1,9.5
46,0.009,1,1,8
46,0.009,1,1,9.5
46,0.009,1,1,10
46,0.009,0,1,11
46,0.009,1,1,17.5
46,0.009,1,1,18
46,0.01,0,1,21
46,0.01,1,1,18
46,0.01,1,1,19
46,0.01,0,1,14
46,0.01,1,1,18
46,0.01,1,1,15
46,0.01,1,1,16.5
46,0.01,1,1,18
46,0.01,0,1,10.5
46,0.01,1,1,17
46,0.01,1,1,11.5
46,0.01,0,1,17
46,0.01,1,1,16
46,0.01,1,1,17.5
46,0.01,1,1,17
46,0.01,1,1,17.5
46,0.01,1,1,19
46,0.01,1,1,19
46,0.01,1,1,16
46,0.01,1,1,22
46,0.01,0,1,18
46,0.01,0,1,11
46,0.01,0,1,17
46,0.01,1,1,20
46,0.01,1,1,14.5
46,0.01,1,1,18
46,0.01,0,1,18
46,0.01,0,1,17
46,0.01,1,1,14.5
46,0.01,0,1,17
49,0.008,1,1,12.5
49,0.008,1,1,15.5
49,0.008,1,0,18
49,0.008,1,0,18
49,0.008,1,1,15
49,0.008,1,1,12
49,0.008,1,1,15
49,0.008,1,1,14.5
49,0.008,1,1,20
49,0.008,1,1,19
49,0.008,1,1,17
49,0.008,1,0,20
49,0.008,1,1,14
49,0.008,1,1,16
49,0.008,1,1,15
49,0.008,1,0,20
49,0.008,1,0,18
49,0.008,1,1,19
49,0.008,1,0,15
49,0.008,1,1,19
49,0.008,1,1,17
49,0.008,1,1,17
49,0.008,1,1,20
49,0.008,1,1,18
49,0.008,1,0,18
49,0.008,1,0,18
49,0.008,1,1,18
49,0.008,1,1,18
49,0.008,1,1,17
49,0.008,1,1,18
49,0.008,1,1,12
49,0.009,1,1,16
49,0.009,1,1,17
49,0.009,1,1,17
49,0.009,1,1,15
49,0.009,1,1,19
49,0.009,1,1,17
49,0.009,1,1,15.5
49,0.009,1,1,13
49,0.009,1,1,16.5
49,0.009,1,1,16
49,0.009,1,1,11
49,0.009,1,1,17
49,0.009,1,1,9
49,0.009,1,1,13
49,0.009,1,1,20
49,0.009,1,1,17
49,0.009,1,1,17
49,0.009,1,1,19
49,0.009,1,1,17
49,0.009,1,1,15
49,0.009,1,1,19
49,0.009,0,1,16.5
49,0.009,0,1,12
49,0.009,0,1,17.5
49,0.009,1,1,14
49,0.009,1,1,19
49,0.009,1,1,19
49,0.009,1,1,16.5
49,0.009,1,1,16.5
49,0.009,1,1,18
49,0.009,1,1,11
50,0.009,1,1,16
50,0.009,1,1,12.5
50,0.009,1,1,18.5
50,0.009,1,1,20
50,0.009,1,1,12
50,0.009,1,1,18
50,0.009,1,1,17
50,0.009,1,1,21
50,0.009,1,1,17
50,0.009,1,1,15
50,0.009,0,1,18
50,0.009,1,1,15.5
50,0.009,1,1,18
50,0.009,1,1,15.5
50,0.009,1,1,20
50,0.009,1,1,17
50,0.009,0,1,14
50,0.009,1,1,13
50,0.009,1,1,8.5
50,0.009,1,1,14
50,0.009,0,1,10
50,0.009,0,1,16
50,0.009,1,1,16
50,0.009,1,1,15
50,0.009,1,1,19
50,0.009,1,1,15
50,0.009,1,1,18
50,0.008,1,1,10
50,0.008,1,1,16
50,0.008,1,1,20
50,0.008,1,1,21
50,0.008,1,1,19
50,0.008,1,1,16
50,0.008,1,1,21
50,0.008,1,1,15
50,0.008,1,1,13
50,0.008,1,1,19
50,0.008,1,1,11.5
50,0.008,1,1,16
50,0.008,1,1,12
50,0.008,1,1,16.5
50,0.008,0,1,16
50,0.008,1,0,19
50,0.008,1,0,15
50,0.008,1,1,17
50,0.008,1,1,17
50,0.008,1,1,18
50,0.008,1,0,19
50,0.008,1,1,16
50,0.008,1,1,19
50,0.008,1,1,20
50,0.008,0,1,15
50,0.01,0,1,11
50,0.01,0,1,10
50,0.01,0,1,20
50,0.01,1,1,12.5
50,0.01,1,1,7
50,0.01,0,1,17
50,0.01,0,1,16
50,0.01,0,1,16
50,0.01,0,1,10
50,0.01,0,1,15
50,0.01,0,1,16
50,0.01,0,1,11
50,0.01,0,1,12
50,0.01,0,1,18
50,0.01,0,1,16
50,0.01,0,1,11.5
50,0.01,0,1,19
50,0.01,0,1,11
50,0.01,0,1,14.5
50,0.01,0,1,17.5
50,0.01,0,1,16
50,0.01,0,1,13
50,0.01,0,1,21
50,0.01,0,1,20
50,0.01,0,1,13
50,0.01,0,1,14
50,0.01,0,1,11
50,0.01,0,1,19
50,0.01,0,1,11.5
50,0.01,1,1,13.5
50,0.01,0,1,13
50,0.01,0,1,17
50,0.01,0,1,14
50,0.01,0,1,15
50,0.01,0,1,15
56,0.009,1,1,20
56,0.009,1,1,21
56,0.009,1,1,19.5
56,0.009,1,1,20
56,0.009,1,1,18
56,0.009,1,1,16
56,0.009,1,1,19
56,0.009,1,1,22
56,0.009,1,1,20
56,0.009,1,1,21
56,0.009,1,1,15
56,0.009,1,1,18
56,0.009,1,1,17
56,0.009,1,1,15
56,0.009,1,1,19
56,0.009,1,1,19
56,0.009,1,1,15
56,0.009,1,1,20
56,0.009,1,1,20
56,0.009,1,1,19
56,0.009,1,1,16
56,0.009,1,1,20
56,0.009,1,1,20
56,0.009,1,1,19
56,0.009,1,1,19
56,0.01,1,1,11
56,0.01,1,1,17.5
56,0.01,1,1,14
56,0.01,1,1,21
56,0.01,1,1,14
56,0.01,0,1,11
56,0.01,1,1,22
56,0.01,1,1,21
56,0.01,1,1,18
56,0.01,1,1,21
56,0.01,1,1,13
56,0.01,1,1,15
56,0.01,1,1,14
56,0.01,1,1,16
56,0.01,1,1,14.5
56,0.01,1,1,22
56,0.01,1,1,20
56,0.01,1,1,15
56,0.01,1,1,17
56,0.01,1,1,17
56,0.01,1,1,12.5
56,0.01,1,1,18
56,0.01,1,1,13
56,0.01,1,1,14
56,0.01,1,1,18
56,0.01,1,1,18
56,0.01,0,1,10
56,0.01,0,1,11
56,0.01,1,1,15
56,0.01,1,1,16
56,0.01,1,1,17
56,0.01,1,1,18
56,0.01,1,1,16
56,0.01,1,1,15
56,0.01,1,1,16
56,0.01,1,1,13
56,0.01,1,1,15
56,0.01,1,1,18
22,0.01,1,1,4
22,0.01,1,1,4
22,0.01,1,1,4
22,0.01,1,1,5
22,0.01,1,1,5.5
22,0.01,1,1,5
22,0.01,1,1,5
22,0.01,1,1,6
22,0.01,1,1,6.5
22,0.01,1,1,5
22,0.01,0,1,7
22,0.01,1,1,6
22,0.01,0,1,7
22,0.009,1,1,6
22,0.009,1,1,6.5
22,0.009,1,1,6.5
22,0.009,1,1,3.5
22,0.009,1,1,5
22,0.009,1,1,5
22,0.009,1,1,5
22,0.009,1,1,4
22,0.009,1,1,5
22,0.009,1,1,6
22,0.009,1,1,6
22,0.009,1,1,5
22,0.009,1,1,6
22,0.009,1,1,4
22,0.009,1,1,7
22,0.009,1,1,6
54,0.009,0,1,12
54,0.009,0,1,15
54,0.009,1,1,14.5
54,0.009,1,1,18
54,0.009,1,1,16
54,0.009,1,1,20
54,0.009,0,1,11
54,0.009,1,1,20
54,0.009,1,1,12.5
54,0.009,1,1,13.5
54,0.009,1,1,19
54,0.009,1,1,16
54,0.009,1,1,13
54,0.009,1,1,20
54,0.009,1,1,13
54,0.009,0,1,11
54,0.009,1,1,18
54,0.009,1,1,20
54,0.009,1,1,19
54,0.009,0,1,15.5
54,0.009,0,1,14
54,0.009,0,1,16
54,0.009,0,1,15
54,0.009,1,1,20
54,0.009,1,1,16
54,0.009,1,1,19
54,0.009,1,1,17
54,0.009,1,1,17
54,0.009,0,1,11
54,0.01,1,1,23
54,0.01,0,1,20
54,0.01,0,1,16
54,0.01,1,1,19
54,0.01,0,1,20
54,0.01,0,1,13
54,0.01,0,1,15
54,0.01,0,1,14
54,0.01,0,1,10
54,0.01,1,1,19
54,0.01,1,1,19
54,0.01,0,1,19
54,0.01,0,1,20
54,0.01,0,1,20
54,0.01,0,1,20
54,0.01,0,1,18
54,0.01,1,1,18
54,0.01,1,1,12
54,0.01,1,1,18
54,0.01,1,1,19
54,0.01,0,1,21
54,0.01,0,1,12
54,0.01,0,1,20
54,0.01,1,1,19
54,0.01,1,1,19
54,0.01,0,1,16
54,0.01,0,1,21
54,0.01,1,1,16
54,0.01,1,1,20
50,0.01,1,1,21
50,0.008,1,1,14
62,0.009,0,1,15.5
62,0.009,1,1,18
62,0.009,0,1,20
62,0.009,0,1,16
62,0.009,1,1,16
62,0.009,1,1,18
62,0.009,1,1,14
62,0.009,1,1,20
62,0.009,1,1,21
62,0.009,1,1,20
62,0.009,0,1,16
62,0.009,1,1,21
62,0.009,0,1,17
62,0.009,1,1,21
62,0.009,1,1,20
62,0.009,1,1,22
